filename,rho,Wait time in queue(sec),Wait time(sec),Length in queue
arrival-0-101-0.2-0-0-DM.log,0.028084086600055427,6.390979559467001e-09,1.3772618753418531e-07,0.0013666162042535136
arrival-0-101-0.2-0-0-HP.log,0.08216603995719346,1.766135690425239e-08,2.3542193500341185e-07,0.006664033360676764
arrival-0-101-0.2-0-0-WS.log,0.0879314605044926,1.8783963680372726e-08,2.524859141693708e-07,0.007067554879291752
arrival-0-101-0.4-0-0-DM.log,0.13465876266231339,2.7265261374752694e-08,2.101662264034238e-07,0.0200737396864649
arrival-0-101-0.4-0-0-HP.log,0.1643207203240968,3.2123912162070327e-08,2.457568290365516e-07,0.02470885322040907
arrival-0-101-0.4-0-0-WS.log,0.18114854228437174,3.4725059750870015e-08,2.7749976415988746e-07,0.025910417520311337
arrival-0-101-0.6-0-0-DM.log,0.2389510321043521,4.2523384859940214e-08,2.7755982135417575e-07,0.04323162337045772
arrival-0-101-0.6-0-0-HP.log,0.29106024390476487,4.825224977637287e-08,3.055692774761946e-07,0.05457979875800677
arrival-0-101-0.6-0-0-WS.log,0.25666650164795207,4.461363464572431e-08,2.7204311149138864e-07,0.05034890678699737
arrival-0-101-0.8-0-0-DM.log,0.3217158975407997,5.103181001846001e-08,3.540661808136869e-07,0.05417782979579765
arrival-0-101-0.8-0-0-HP.log,0.34346240348562534,5.272515874923686e-08,3.2076196839891584e-07,0.06756202542420363
arrival-0-101-0.8-0-0-WS.log,0.3032917700858413,4.9260971456388354e-08,2.6397207500438806e-07,0.06958395249371031
arrival-1-101-0.2-0-0-DM.log,0.02816896964658764,6.407429233251545e-09,1.3658609416594236e-07,0.001386484334260489
arrival-1-101-0.2-0-0-HP.log,0.07685707079548924,1.6524533798321605e-08,2.199764778856093e-07,0.0062423943388576035
arrival-1-101-0.2-0-0-WS.log,0.08714162247789549,1.8615192653856532e-08,2.5002594387486065e-07,0.007009864848701218
arrival-1-101-0.4-0-0-DM.log,0.13495522715492878,2.732643661517943e-08,2.1121129972974577e-07,0.020055187785841044
arrival-1-101-0.4-0-0-HP.log,0.1606721068932834,3.150570657798344e-08,2.418551386197475e-07,0.024065138688090775
arrival-1-101-0.4-0-0-WS.log,0.17780349473310816,3.417155340268683e-08,2.718611651309419e-07,0.0255619989922113
arrival-1-101-0.6-0-0-DM.log,0.22713498146547564,4.107674700683683e-08,2.756364986322969e-07,0.03977650089328968
arrival-1-101-0.6-0-0-HP.log,0.28780734477225256,4.797172917857766e-08,3.0695040426382876e-07,0.053311787136431754
arrival-1-101-0.6-0-0-WS.log,0.25203847223807596,4.403201235912278e-08,2.6774242293466945e-07,0.049607709788783774
arrival-1-101-0.8-0-0-DM.log,0.3273637846828342,5.14054140930886e-08,3.6747809050804243e-07,0.05324177686466295
arrival-1-101-0.8-0-0-HP.log,0.34452403145670335,5.2848639907321324e-08,3.278715462768451e-07,0.06620403630456147
arrival-1-101-0.8-0-0-WS.log,0.2950111013625841,4.842300364712664e-08,2.6059770513216136e-07,0.06732811940932949
arrival-2-101-0.2-0-0-DM.log,0.028394442163234477,6.461807264374118e-09,1.3854166901733277e-07,0.0013891550930104548
